Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Green Climate Fund (GCF-1);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;Increasing the ambition of the NDCs and climate financing in the Central AmÈrica;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;The United Nations Environment Programme (UNEP);;;2020;2022;;1,25;;;1,25;1,25;;;
Global Environment Facility (GEF7);Multilateral;India;South Asia;Lower middle income;Accelerating adoption of super-efficient technologies for sustainable thermal comfort in buildings in India;Multiple Foci;Energy;DAC230_;;;UNDP;Bureau of Energy Efficiency, Ministry of Power, Ministry of Environment Forest and Climate Change (MoEFCC);Government;2020;;;4,42;;;4,42;;;;
Global Environment Facility (GEF4);Multilateral;India;South Asia;Lower middle income;Achieving Reduction in GHG Emissions through Advanced Energy Efficiency Technology in Electric Motors;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNDP;;;2008;;;0,25;;;0,25;0,25;;;
Least Developed Countries Fund (LDCF);Multilateral;Afghanistan;South Asia;Low income;Adapting Afghan Communities to Climate-Induced Disaster Risks;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;UNDP;NEPA, MRRD, MAIL, ANDMA, Afghan Met Office, MoE, NGOs, MoWA, IDLG;;2015;;;5,6;;;5,6;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Afghanistan;South Asia;Low income;Community-based Climate-responsive Livelihoods and Forestry (CCLF);Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;capacity, community;UNDP;UNDP;;2024;;;8,98;;;8,98;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Bhutan;South Asia;Lower middle income;Enhancing the Climate Resilience of Urban Landscapes and Communities in Thimphu-Paro region of Bhutan (ECRUL);Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;vulnerability, urban landscapes;UNDP;Ministry of Infrastructure and Transport (MoIT);;2023;;;18,05;;;18,05;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Bhutan;South Asia;Lower middle income;Addressing the Risk of Climate-induced Disasters through Enhanced National and Local Capacity for Effective Actions;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;UNDP;National Environment Comission Secretariat;;2012;2019;;11,49;;;11,49;11,49;LDC;;
MDG Achievement Fund;Multilateral;Afghanistan;South Asia;Low income;"Strengthened Approach for the Integration of Sustainable Environmental Management into the ANDS/PRSP
";Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;UNDP/FAO/UNEP;;;2008;;;5;;;5;5;LDC;;FCAS
Global Environment Facility (GEF5);Multilateral;Sri Lanka;South Asia;Lower middle income;Appropriate Mitigation Actions in the Energy Generation and End-Use Sectors in Sri Lanka;Mitigation - General;Energy;DAC230_;Environmental policy and administrative management;;UNDP;Ministry of Environment and Renewable Energy;;2013;;;1,79;;;1,79;1,79;;;
Global Environment Facility (GEF5);Multilateral;Bangladesh;South Asia;Lower middle income;ASTUD: Greater Dhaka Sustainable Urban Transport Corridor Project;Multiple Foci;Transport & Storage;DAC210_;Road Transport;;ADB;Roads Division, Ministry of Communications, Government of Bangladesh;National Government;2011;2016;;4,63;;;4,63;4,63;LDC;;
Global Environment Facility (GEF6);Multilateral;Bangladesh;South Asia;Lower middle income;Bangladesh: First Biennial Update Report (BUR1) to the UNFCCC;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;reporting;UNDP;Ministry of Environment and Forests/Department of Environment;;2018;;;0,35;;;0,35;;LDC;;
Global Environment Facility (GEF6);Multilateral;Bhutan;South Asia;Lower middle income;Bhutan Sustainable Low-emission Urban Transport Systems;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;;UNDP;Ministry of Information and Communications (MOIC);;2018;2023;;2,64;;;2,64;2,64;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Bangladesh;South Asia;Lower middle income;Building climate resilient livelihoods in vulnerable landscapes in Bangladesh (BCRL);Adaptation;Other Multisector;DAC430_;Food security policy and administrative management;Adaptation, communication, knowledge;FAO;Department of Environment;Government;2021;;;8,93;;;8,93;;LDC;;
Adaptation Fund (AF);Multilateral;Afghanistan;South Asia;Low income;South-South Cooperation Grant (Readiness grant);Adaptation;General environment protection;DAC410_;;;NABARD;;;2018;;;0,05;;;0,05;0,05;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Peru;Latin America & Caribbean;Upper middle income;(FP001) Building the Resilience of Wetlands in the Province of Datem del MaraÒÛn, Peru;Multiple foci;General environment protection;DAC410_;Multisector;"Wetlands; Ecosystems and ecosystem services; Forests and land use; Livelihoods of people and communities";PROFONANPE;Peruvian Trust Fund for National Parks and Protected Areas (PROFONANPE);Private, Non-profit;2015;2022;;6,24;;;6,24;6,24;;;
Global Environment Facility (GEF5);Multilateral;Albania;Europe & Central Asia;Upper middle income;Biomass Energy for Productive Use for Small and Medium Enterprises (SMEs) in the Olive Oil Sector;Mitigation - General;Energy;DAC230_;Biomass;;UNIDO;"National Agency for Natural Resources of Albania (AKBN); Ministry of Economy, Trade and Energy (METE); Ministry of Agriculture and Food; Ministry of Environment, Forestry and Water Management); Albanian Association of Olive Producers";;2013;;;0,93;;;0,93;0,93;;;
Global Environment Facility (GEF5);Multilateral;Albania;Europe & Central Asia;Upper middle income;Environmental Services Project;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;;World Bank;Ministry of Environment, Forests and Water Administration;;2014;2022;;2,88;;;2,88;2,88;;;
Global Environment Facility (GEF6);Multilateral;Albania;Europe & Central Asia;Upper middle income;Albania's First Biennial Update Report and Fourth National Communication under the UNFCCC;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;reporting;UNDP;Ministry of Tourism and Environment;;2018;;;0,85;;;0,85;;;;
Special Climate Change Fund (SCCF);Multilateral;Albania;Europe & Central Asia;Upper middle income;Building the Resilience of Kune-Vaini Lagoon through Ecosytem-based Adaptation (EbA);Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;Eba;UNEP;"Ministry of Environment, Forestry and Water Administration (MoEFWA)in collaboration with Communes of ShÎngjin and ShÎnkoll; Ministry of Finance; Ministry of Agriculture, Food and Consumer Protection; Ministry of Culture, Tourism and Sports; National Agency for Territorial Planning, Ministry of Interior.";;2013;;;1,9;;;1,9;1,9;;;
Global Environment Facility (GEF6);Multilateral;Algeria;Middle East & North Africa;Upper middle income;Third National Communication and First Biennial Update Report of Algeria to the UNFCCC;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;reporting;UNDP;Ministry of Environment and renewable energy;;2018;;;0,85;;;0,85;;;;
Global Environment Facility (GEF7);Multilateral;Albania;Europe & Central Asia;Upper middle income;Electric mobility for sustainable tourism in Albania;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;GHG emissions, electric mobility;United Nations Industrial Development Organization;National Center for Environment, Tourism and Sustainable Development;Government;2022;;;0,76;;;0,76;;;;
Global Environment Facility (GEF7);Multilateral;Algeria;Middle East & North Africa;Upper middle income;AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level;Mitigation - General;Water Supply & Sanitation;DAC140_;Waste management/disposal;;UNDP;Ministry of Environment and Renewable Energy;;2019;;;4,42;;;4,42;;;;
Global Environment Facility (GEF5);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Promotion of Sustainable Charcoal in Angola through a Value Chain Approach;Mitigation - General;Energy;DAC230_;Biomass;;UNDP;"Lead implementing partner: Ministry of the Environment (MINAMB) Other partners: IDF (Instituto de Desenvolvimento Florestal de Angola) ñ MINADER (Ministry of Agriculture and Rural Development/MinistÈrio da Agricultura e Desenvolvimento Rural de Angola); CETAC (Centro de Ecologia Tropical e AlteraÁıes Clim·ticas); Ministry of Economy - The National Institute of Support to Micro, Small and Medium Enterprises (INAPEM); Ministry of Energy and Water (MINEA); Ministry of Commerce; Ministry of Industry; Ministry of Family (MinistÈrio da Familia e PromoÁ„o da Mulher); Provincial Governments of Huambo, Benguela, Kwanza-Sul and/or Huila (TBD).NGOs: ADRA, CODESPA, ADPP and COSPE";;2014;2016;;4,62;;;4,62;4,62;LDC;;
Global Environment Facility (GEF6);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Promoting Sustainable Energy Access for Rural Communities in South-Eastern Angola;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency;rural, sustainable energy access;UNDP;Ministry of the Environment (MINAMB);;2018;;;3,54;;;3,54;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Integrating Climate Resilience into Agricultural and Agropastoral Production Systems through Soil Fertility Management in Key Productive and Vulnerable Areas Using the Farmers Field School Approach;Adaptation;Agriculture;DAC311_;Agricultural Development;;FAO;MinistÈrio do Ambiente (MA), MinistÈrio da Agricultura e do Desenvolvimento Rural e das Pescas (MINANDER),???Governo provincial do Bie, Governo provincial do Huambo, Governo provincial de Malanje, Governo provincial de Huila;;2014;;;6,67;;;6,67;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Promoting Climate-resilient Development and Enhanced Adaptive Capacity to Withstand Disaster Risks in Angolanís Cuvelai River Basin;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;UNDP;Ministry of Environment (MINAMB) (lead), Civil Protection, Ministry of Energy and Water (MINEA), Ministry of Agriculture, Provincial Government of Cunene (various line ministries and Civil Protection);;2013;;;8,2;;;8,2;8,2;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Addressing Urgent Coastal Adaptation Needs and Capacity Gaps in Angola;Adaptation;Other Multisector;DAC430_;Environmental Research;Coastal protection, capacity building;UNEP/UNDP;Ministry of Environment;;2013;;;6,18;;;6,18;6,18;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Integrating Climate Change into Environment and Sustainable Land Management Practices;Adaptation;Other Multisector;DAC430_;Environmental Research;Land;AfDB;Ministry of Enviroment;;2013;;;4,42;;;4,42;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Enabling Activities for the Preparation of a National Adaptation Plan of Action ;Adaptation;Unallocated / Unspecified;DAC998_;Environmental Research;NAPA;UNEP;Ministry of Urbanism and Environment;;2008;;;0,2;;;0,2;0,2;LDC;;
Adaptation Fund (AF);Multilateral;Antigua and Barbuda;Latin America & Caribbean;High income;Innovative technologies for improved water availability to increase food security in Antigua and Barbuda (Small Innovation Grant);Adaptation;Water Supply & Sanitation;DAC140_;;;Department of Environment;"Department of Environment; Ministry of Health and The Environment";Government Agencies;2020;2025;;0,25;;;0,25;0,25;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Antigua and Barbuda;Latin America & Caribbean;High income;An integrated approach to physical adaptation and community resilience in Antigua and Barbudaís northwest McKinnonís watershed (ABED) (project forumulation grant);Adaptation;Disaster Prevention & Preparedness;DAC740_;;;Department of Environment;;;2016;;;0,03;;;0,03;0,03;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Antigua and Barbuda;Latin America & Caribbean;High income;Technical Assistance Grant for ESP and Gender (Readiness grant);Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;Department of Environment;;;2016;2018;;0,03;;;0,03;0,03;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Antigua and Barbuda;Latin America & Caribbean;High income;An integrated approach to physical adaptation and community resilience in Antigua and Barbuda's northwest McKinnon's watershed;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;Department of Environment;"Department of Environment; Ministry of Health and The Environment";Government Agencies;2016;2020;;9,97;;;9,97;9,97;;SIDS - Caribbean;
Green Climate Fund IRM (GCF IRM);Multilateral;Malawi;Sub-Saharan Africa;Low income;(FP002) Scaling Up the Use of Modernized Climate Information and Early Warning Systems ;Adaptation;Other Multisector;DAC430_;Environmental research;"Early Warning Systems; Livelihoods of people and communities";UNDP;Department of Disaster Management Authority (DoDMA);Public Sector;2015;2023;;12,29;;;12,29;12,29;LDC;;
Special Climate Change Fund (SCCF);Multilateral;Antigua and Barbuda;Latin America & Caribbean;High income;Building climate Resilience through Innovative Financing Mechanisms for Climate Change Adaptation;Adaptation;Banking & Financial Services;DAC240_;Environmental policy and administrative management;Innovative financing mechanisms;FAO;Ministry of Agriculture, Lands, Housing and the Environment;;2014;;;5;;;5;;;SIDS - Caribbean;
Adaptation Fund (AF);Multilateral;Argentina;Latin America & Caribbean;High income;Enhancing the Adaptive Capacity and Increasing Resilience of Small-sizevAgricultural Producers of the Northeast of Argentina (project forumulation grant);Adaptation;Agriculture;DAC311_;;;Unidad para el Cambio Rural (UCAR);;;2012;;;0,03;;;0,03;0,03;;;
Adaptation Fund (AF);Multilateral;Argentina;Latin America & Caribbean;High income;Increasing Climate Resilience and Enhancing Sustainable Land Management in the Southwest of Buenos Aires Province;Adaptation;Agriculture;DAC311_;Agricultural land resources;agro-ecosystems, early warning systems, capacity building;World Bank;Secretaria de Ambiente y Desarollo Sustentable (SAyDS);;2012;2019;;4,3;;;4,3;4,3;;;
Adaptation Fund (AF);Multilateral;Argentina;Latin America & Caribbean;High income;Enhancing the Adaptive Capacity and Increasing Resilience of Small-scale Agriculture Producers of the Northeast of Argentina;Adaptation;Agriculture;DAC311_;Agricultural Development;Agriculture, resilience, livestock production, crops;Unidad para el Cambio Rural (UCAR);"Ministry of Agriculture, Livestock and Fishery; National Institute of Agriculture Technology; and National Secretariat of Environment and Sustainable Development";;2013;2018;;5,64;;;5,64;5,64;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Senegal;Sub-Saharan Africa;Low income;(FP003) Increasing the Resilience of Ecosystems and Communities through the Restoration of the Productive Bases of Salinized Lands;Adaptation;Agriculture;DAC311_;Agricultural land resources;"Health, food and water security; Ecosystems and ecosystem services; Infrastructure and built environment";Centre de Suivi Ecologique;"International Union for Conservation of Nature (IUCN); National Soil Science Institute (INP); Reseau African pour le Developpement Integre (RADI)";;2015;2024;;7,61;;;7,61;5,57;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Bangladesh;South Asia;Lower middle income;(FP004) Climate Resilient Infrastructure Mainstreaming ;Adaptation;Other Multisector;DAC430_;Multisector;;KfW (Kreditanstalt fur Wiederoufbou);Local Government Engineering Department of Bangladesh;Public Sector;2015;2024;;40;;;40;5,89;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Multi-country (Rwanda, Kenya);Sub-Saharan Africa;Not applicable;(FP005) KawiSafi Ventures Fund;Multiple foci;Energy generation, renewable sources;DAC232_;Solar Energy;Off-grid solar;Acumen Fund, Inc.;Acumen Capital Partners LLC;Private sector;2015;2025;;5;;20;25;22,57;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Maldives;South Asia;Upper middle income;(FP007) Supporting Vulnerable Communities in Maldives to Manage Climate Change-Induced Water Shortages;Adaptation;Water Supply & Sanitation;DAC140_;Water resources conservation (including data collection);;UNDP;Maldives Ministry of Environment & Energy;Public Sector;2015;2022;;23,64;;;23,64;23,64;;SIDS - AIMS;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Argentina;Latin America & Caribbean;High income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;;;2015;;;3,8;;;3,8;2,94;;;
Global Environment Facility (GEF4);Multilateral;Argentina;Latin America & Caribbean;High income;Establishment of Incentives for the Conservation of Ecosystem Services of Global Significance;Mitigation - General;General Environment Protection;DAC410_;Biosphere protection;Natural ecosystems;UNDP;Secretariat for the Environment and Sustainable Development (SAyDS) (Secretaria de Ambiente y Desarrollo sustentable). Associate Executing Partners: Governments of Entre Rios, Formosa and Chaco Provinces and INTA;;2009;2017;;2,91;;;2,91;2,91;;;
Global Environment Facility (GEF4);Multilateral;Argentina;Latin America & Caribbean;High income;Rural Corridors and Biodiversity Conservation;Mitigation - General;General Environment Protection;DAC410_;Biosphere protection;Biological diversity;World Bank;NATIONAL PARKS ADMINISTRATION (APN);;2009;2017;;6,29;;;6,29;6,29;;;
Global Environment Facility (GEF4);Multilateral;Argentina;Latin America & Caribbean;High income;Third National Communication to the United Nations Framework Convention on Climate Change;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;World Bank;Chief of the Cabinet of Ministers (JGM): General Administration and Technical Directorate (DGTA) and Secretariat of the Environment and Sustainable Development (SAyDS);;2009;2016;;2,44;;;2,44;2,44;;;
Global Environment Facility (GEF5);Multilateral;Argentina;Latin America & Caribbean;High income;Sustainable Business Models for Biogas Production from Organic Municipal Solid Waste;Mitigation - General;Energy generation, renewable sources;DAC232_;Biomass;;UNDP;Secretariat of Environment and Sustainable Management (SAyDS);;2016;;;2,78;;;2,78;;;;
Global Environment Facility (GEF5);Multilateral;Argentina;Latin America & Caribbean;High income;Energy Efficiency and Renewable Energy Measures in Social Housing;Mitigation - General;Energy;DAC230_;RE/EE;Buildings;IADB;National Sustainable Environment and Development Secretariat, and others;;2014;;;14,63;;;14,63;;;;
Global Environment Facility (GEF5);Multilateral;Argentina;Latin America & Caribbean;High income;Argentine Republic First Biennial Update Report (BUR);Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;World Bank;Secretariat of Environment and Sustainable Development;;2014;2017;;0,3;;;0,3;0,3;;;
Global Environment Facility (GEF6);Multilateral;Argentina;Latin America & Caribbean;High income;Reducing Argentina's Greenhouse Gas Emissions from the Energy Sector through the Utilization of Organic Waste for Energy Generation in Agriculture and Agro Industries ;Mitigation - General;Energy;DAC230_;Biomass;;UNIDO;Ministry of Agroindustry;;2015;;;6;;;6;6;;;
Global Environment Facility (GEF6);Multilateral;Argentina;Latin America & Caribbean;High income;"Argentine Republicís Third Biennial Update Report (BUR 3)

";Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;reporting;UNDP;Ministry of Environment and Sustainable Development (Ministerio de Ambiente y Desarrollo Sustentable);;2018;;;0,35;;;0,35;0,35;;;
